data,fault
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0,1_P
0,1_P
0,1_P
-0.19,1_P
-0.19,1_P
-0.19,1_P
-0.23,1_P
-0.23,1_P
-0.23,1_P
-0.23,1_P
0.24,1_P
0.24,1_P
0.24,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.16,1_P
0.16,1_P
0.16,1_P
-0.19,1_P
-0.19,1_P
-0.19,1_P
-0.19,1_P
0,1_P
0,1_P
0,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
0.2,1_P
0.2,1_P
0.2,1_P
0.12,1_P
0.12,1_P
0.12,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.27,1_P
-0.27,1_P
-0.27,1_P
-0.23,1_P
-0.23,1_P
-0.23,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
0,1_P
0,1_P
0,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
0,1_P
0,1_P
0,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0,1_P
0,1_P
0,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
0,1_P
0,1_P
0,1_P
0,1_P
-0.31,1_P
-0.31,1_P
-0.31,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
0,1_P
0,1_P
0,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
0.12,1_P
0.12,1_P
0.12,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0,1_P
0,1_P
0,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.27,1_P
-0.27,1_P
-0.27,1_P
0,1_P
0,1_P
0,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.12,1_P
0.12,1_P
0.12,1_P
0.12,1_P
0.12,1_P
0.12,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0,1_P
0,1_P
0,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0.12,1_P
0.12,1_P
0.12,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.12,1_P
0.12,1_P
0.12,1_P
0.12,1_P
0.12,1_P
0.12,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.16,1_P
0.16,1_P
0.16,1_P
0.16,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.16,1_P
0.16,1_P
0.16,1_P
0.16,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
0,1_P
0,1_P
0,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0,1_P
0,1_P
0,1_P
0,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
0,1_P
0,1_P
0,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.23,1_P
-0.23,1_P
-0.23,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0.12,1_P
0.12,1_P
0.12,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.12,1_P
0.12,1_P
0.12,1_P
0.12,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
0.12,1_P
0.12,1_P
0.12,1_P
0.12,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0,1_P
0,1_P
0,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0,1_P
0,1_P
0,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.19,1_P
-0.19,1_P
-0.19,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.16,1_P
0.16,1_P
0.16,1_P
0.16,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.19,1_P
-0.19,1_P
-0.19,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
-0.23,1_P
-0.23,1_P
-0.23,1_P
-0.23,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.19,1_P
-0.19,1_P
-0.19,1_P
0,1_P
0,1_P
0,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.19,1_P
-0.19,1_P
-0.19,1_P
0,1_P
0,1_P
0,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.16,1_P
0.16,1_P
0.16,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.19,1_P
-0.19,1_P
-0.19,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0,1_P
0,1_P
0,1_P
0.2,1_P
0.2,1_P
0.2,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
0,1_P
0,1_P
0,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0,1_P
0,1_P
0,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0,1_P
0,1_P
0,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.12,1_P
0.12,1_P
0.12,1_P
0,1_P
0,1_P
0,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.12,1_P
0.12,1_P
0.12,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.12,1_P
0.12,1_P
0.12,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0,1_P
0,1_P
0,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.16,1_P
0.16,1_P
0.16,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0.12,1_P
0.12,1_P
0.12,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.12,1_P
0.12,1_P
0.12,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0,1_P
0,1_P
0,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
0,1_P
0,1_P
0,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0,1_P
0,1_P
0,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.27,1_P
-0.27,1_P
-0.27,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0,1_P
0,1_P
0,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.19,1_P
-0.19,1_P
-0.19,1_P
0,1_P
0,1_P
0,1_P
-0.23,1_P
-0.23,1_P
-0.23,1_P
-0.23,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0,1_P
0,1_P
0,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0.16,1_P
0.16,1_P
0.16,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0,1_P
0,1_P
0,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0,1_P
0,1_P
0,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.12,1_P
0.12,1_P
0.12,1_P
0,1_P
0,1_P
0,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.19,1_P
-0.19,1_P
-0.19,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0,1_P
0,1_P
0,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0,1_P
0,1_P
0,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0,1_P
0,1_P
0,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
0,1_P
0,1_P
0,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0,1_P
0,1_P
0,1_P
0,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0,1_P
0,1_P
0,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0,1_P
0,1_P
0,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
0,1_P
0,1_P
0,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.19,1_P
-0.19,1_P
-0.19,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.19,1_P
-0.19,1_P
-0.19,1_P
-0.19,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0,1_P
0,1_P
0,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
0,1_P
0,1_P
0,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
0.12,1_P
0.12,1_P
0.12,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0,1_P
0,1_P
0,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0,1_P
0,1_P
0,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.27,1_P
-0.27,1_P
-0.27,1_P
-0.27,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.12,1_P
0.12,1_P
0.12,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
-0.19,1_P
-0.19,1_P
-0.19,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0,1_P
0,1_P
0,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
0,1_P
0,1_P
0,1_P
0,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.19,1_P
-0.19,1_P
-0.19,1_P
0,1_P
0,1_P
0,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0.16,1_P
0.16,1_P
0.16,1_P
0.16,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
0.12,1_P
0.12,1_P
0.12,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.11,1_P
-0.11,1_P
-0.11,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0,1_P
0,1_P
0,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0,1_P
0,1_P
0,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
0.04,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
0,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.0800000000000001,1_P
0.12,1_P
0.12,1_P
0.12,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
-0.15,1_P
-0.15,1_P
-0.15,1_P
-0.04,1_P
-0.04,1_P
-0.04,1_P
0,1_P
0,1_P
0,1_P
0,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
-0.0800000000000001,1_P
0,1_P
0,1_P
0,1_P
-0.04,1_P
